,City,Country,Max Temp,Lat,Lng,Hotel Name
397,Virovitica,HR,291.77,45.8319,17.3839,Rooms Virovitica
398,Serebryansk,KZ,278.38,49.6925,83.2892,"Gostinitsa ""Vodoley"""
399,Marawi,PH,294.1,7.9986,124.2928,Derogongan Residence
400,Iskateley,RU,277.31,67.6803,53.1512,Hostel Agat
402,Shache,CN,290.77,38.4167,77.2406,Delong Hotel
403,Sumbe,AO,297.94,-11.2061,13.8437,Hotel Ritz Sumbe
407,Parsabad,IR,295.59,39.6482,47.9174,Peacock Hotel Magi
410,Filadelfia,US,293.27,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
412,Chateau-Thierry,FR,292.03,49.05,3.4,Hôtel Restaurant Campanile Château Thierry
414,Ornskoldsvik,SE,282.68,63.2909,18.7153,ファーストホテル スタット
415,Mwingi,KE,299.29,-0.9344,38.0601,Thorn Tree by The Address
416,Comodoro Rivadavia,AR,290.07,-45.8667,-67.5,Austral Hotel
417,Vilhena,BR,298.69,-12.7406,-60.1458,Hotel Mirage
418,Pangnirtung,CA,268.41,66.1451,-65.7125,Kilabuk Lodge
419,Mineros,BO,292.24,-17.1167,-63.2333,Colpacaranda Eco Resort
420,Nueva Guinea,NI,298.98,11.6876,-84.4562,Posadita La Reyna
421,Stepnogorsk,KZ,283.51,52.3544,71.8869,Hotel Stepnogorsk
423,Kiruna,SE,279.66,67.8557,20.2251,Camp Ripan
424,Seia,PT,297.99,40.4151,-7.7086,Hotel Eurosol Seia Camelo
425,Nazca,PE,298.15,-14.8333,-74.95,Casa Andina Standard Nasca
426,Yanaul,RU,283.17,56.2719,54.9309,У Галины
427,Goya,AR,295.34,-29.14,-59.2626,Apart Costanera Goya
428,Malanje,AO,299.94,-9.5402,16.341,Hotel Ginga
429,Vila Franca Do Campo,PT,295.38,37.7167,-25.4333,Pestana Bahia Praia
430,Zholymbet,KZ,283.38,51.7433,71.7122,
431,Kerman,IR,294.26,30.2832,57.0788,هتل آپارتمان آسام
436,Zhezkazgan,KZ,282.14,47.8043,67.7144,Hotel Zumrat
438,Sambava,MG,295.07,-14.2667,50.1667,Melrose
439,Patna,IN,299.11,25.6,85.1167,"Park Plaza,11 no, Patna"
440,Kalmunai,LK,299.81,7.4167,81.8167,VS Villa
442,Nuuk,GL,272.49,64.1835,-51.7216,Vandrehuset
445,Gengenbach,DE,290.68,48.4,8.0167,Schwarzwaldhotel Gengenbach
446,Krasnoye,UA,286.05,49.9145,24.6134,Feniks
447,San Vicente,AR,287.77,-26.6167,-54.1333,Complejo Turístico Farelluk
448,Saint-Joseph,RE,295.36,-21.3667,55.6167,"""Plantation Bed and Breakfast"
449,Pinheiro Machado,BR,287.62,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
450,Kirkwood,US,290.57,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
451,Axintele,RO,291.99,44.6,26.7833,Cristy
452,Coihaique,CL,284.49,-45.5752,-72.0662,Diego De Almagro Coyhaique
453,Svetlyy,RU,286.18,54.675,20.1347,"Gostinitsa-Kafe, Alena"
454,Dover,US,293.81,39.1582,-75.5244,Bally's Dover Casino Resort
455,Anuradhapura,LK,298.62,8.3565,80.4173,Nilketha Villa Eco Hotel
457,Makariv,UA,282.97,50.4641,29.8113,Apart-hotel GolfStream
460,Bella Union,UY,292.36,-30.2752,-57.6007,Saville Free Shop
461,Abalak,RU,278.9,58.1286,68.5944,Туристический комплекс Абалак
464,Rincon,US,297.51,32.296,-81.2354,Days Inn Rincon
465,Rudraprayag,IN,292.04,30.2833,78.9833,HOTEL PUSHPDEEP GRAND
466,Sunndalsora,NO,278.61,62.6754,8.5515,Sunndalsøra Hotell
468,Krasnoborsk,RU,279.53,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
470,Hazleton,US,288.85,40.9584,-75.9746,Residence Inn by Marriott Hazleton
471,Tyukhtet,RU,280.3,56.5389,89.3011,
472,Quatre Cocos,MU,295.42,-20.2078,57.7625,Sunrise Attitude Hotel
473,Aksay,RU,284.4,47.26,39.87,Chernaya Zhemchuzhina
474,Polunochnoye,RU,276.81,60.8697,60.4153,
475,Thetford Mines,CA,280.53,46.0913,-71.3013,Hôtel du Domaine
476,Aksarka,RU,276.17,66.5606,67.7975,
477,Tres Arroyos,AR,294.92,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
478,Leczyca,PL,286.59,52.0596,19.1997,Bursa szkolna
479,Taltal,CL,290.2,-25.4,-70.4833,Residencial Karime
481,Dudinka,RU,273.91,69.4058,86.1778,Hotel Viktoria
484,Banda Aceh,ID,299.7,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
485,Bollnas,SE,283.19,61.3482,16.3946,Grand Hotel
486,Glenluce,GB,285.56,54.8798,-4.8084,Old Port Store
487,Kitgum,UG,298.43,3.2783,32.8867,Jaflo Gardens Hotel
488,Sistranda,NO,280.13,63.7256,8.834,Hotell Frøya
490,Krasnoslobodsk,RU,284.05,48.7072,44.5714,Mini-hotel Na Allee
492,Imbituba,BR,292.51,-28.24,-48.6703,Praia Hotel Imbituba
495,Maridi,SS,296.96,4.9158,29.4742,
497,At-Bashi,KG,278.8,41.1702,75.8106,Hostel At-Bashy
499,Jacareacanga,BR,298.36,-6.2222,-57.7528,Casa do Ian😎
500,Elizabeth City,US,294.28,36.2946,-76.2511,Hampton Inn Elizabeth City
501,Leshukonskoye,RU,280.17,64.8989,45.7622,Pryalitsa Hostel
502,Dharchula,IN,289.81,29.85,80.5333,Mahara Hotel
503,Kyrylivka,UA,288.3,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
506,Beisfjord,NO,281.18,68.3751,17.5988,
507,Camana,PE,291.75,-16.6228,-72.7111,Hostal Morales
511,Kushmurun,KZ,285.17,52.4503,64.6311,Gostinitsa Pri Depo
514,Karasjok,NO,279.09,69.4719,25.5112,Karasjok camping AS
515,Troyes,FR,291.18,48.3333,4.0833,Logis Hôtel des Sources
516,Makat,KZ,292.36,47.6469,53.3463,Umit
517,Ostrowiec Swietokrzyski,PL,289.31,50.9294,21.3853,VICTORIA Willa - Restauracja
518,Trelew,AR,294.26,-43.249,-65.3051,Hotel Touring Club
523,Havoysund,NO,282.28,70.9963,24.6622,Arctic View Glamping & Restaurant
525,Marystown,CA,284.07,47.1666,-55.1483,Marystown Hotel & Convention Centre
526,Betafo,MG,295.4,-19.8333,46.85,CHEZ MALALA
527,Sanary-Sur-Mer,FR,298.07,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
528,Tall Kayf,TR,299.81,37.0833,41.0667,
529,Santa Maria,BR,288.36,-29.6842,-53.8069,Hotel Morotin
530,Urdoma,RU,280.22,61.7533,48.5442,Vikonda
533,Bolshevik,BY,284.94,54.0065,27.5692,HOME APART Storozhovskaya str.6
534,Manta,EC,297.03,-0.95,-80.7333,Balandra Hotel
536,Strezhevoy,RU,278.0,60.7333,77.5889,Sibiryachka
537,Berkovica,BA,288.32,44.6156,18.4294,Edin Ikanovic
538,Malinovoye Ozero,RU,282.7,51.6753,79.7825,Baza Otdykha
539,Killybegs,IE,285.99,54.6333,-8.45,Tara Hotel
540,Abhar,IR,288.39,36.1468,49.218,مرکز تشخیص رنگ خودرو کرمی
543,George,ZA,291.9,-33.963,22.4617,Protea by Marriott Hotel George King George
544,Tornio,FI,281.16,65.8481,24.1466,Park Hotel Tornio
545,Sfantu Gheorghe,RO,290.13,45.8667,25.7833,Hotel Park
546,Warrington,GB,288.66,53.3925,-2.5802,Villaggio Hotel
